USD_Rate,Diesel_Price_Rs,Petrol_Price_Rs,Lorry_Quota_L,Bike_Quota_L,Rice_Price_Rs,Bread_Price_Rs,Power_Cut_Hours,Economic_Status,Power_Cut_Warning
320.7,402.8,415.42,150.0,6.0,236.65,129.86,0,Moderate_Stress,0
311.18,387.1,402.38,156.0,6.0,229.1,128.31,0,Normal,0
322.97,392.01,404.04,158.0,6.0,226.47,129.63,0,Normal,0
336.1,400.04,414.5,169.0,7.0,239.23,133.59,3,Moderate_Stress,1
309.74,383.18,389.71,163.0,5.0,233.37,128.95,0,Normal,0
309.74,380.13,397.2,153.0,7.0,222.27,131.8,0,Normal,0
336.94,416.43,432.44,162.0,4.0,252.03,136.03,2,Severe_Crisis,1
324.76,399.83,411.74,152.0,6.0,240.98,128.75,0,Normal,0
306.21,382.63,401.93,165.0,6.0,225.14,132.43,0,Normal,0
321.39,384.24,404.93,158.0,7.0,231.71,128.93,0,Normal,0
306.3,385.42,393.38,160.0,6.0,237.8,129.12,0,Normal,0
306.26,374.18,386.37,200.0,7.0,229.53,129.51,0,Normal,0
316.88,405.16,417.32,154.0,5.0,238.88,133.46,0,Moderate_Stress,0
300.0,358.11,369.41,193.0,8.0,217.8,128.91,0,Normal,0
300.0,382.36,402.51,157.0,6.0,227.86,129.49,0,Normal,0
304.82,372.52,387.55,200.0,7.0,222.44,125.2,0,Normal,0
300.0,358.49,373.16,192.0,8.0,208.6,132.2,0,Normal,0
317.96,380.82,386.8,146.0,7.0,240.74,131.17,0,Normal,0
300.0,361.8,380.97,198.0,7.0,221.06,125.55,0,Normal,0
300.0,369.24,379.05,200.0,8.0,224.88,129.63,0,Normal,0
335.23,410.75,427.05,166.0,8.0,244.17,136.92,3,Moderate_Stress,1
309.86,370.61,387.99,198.0,7.0,221.66,129.55,0,Normal,0
314.26,381.16,403.96,158.0,5.0,228.98,137.54,0,Normal,0
300.0,386.42,395.88,166.0,7.0,220.9,127.63,0,Normal,0
305.08,388.12,389.02,151.0,6.0,241.9,128.43,0,Normal,0
314.91,386.51,403.43,158.0,6.0,225.74,131.05,0,Normal,0
300.0,365.38,390.38,200.0,7.0,216.37,129.57,0,Normal,0
318.89,387.92,410.11,162.0,6.0,231.0,126.92,0,Normal,0
304.24,376.01,393.06,197.0,8.0,232.54,122.15,0,Normal,0
308.87,364.98,378.52,200.0,8.0,223.24,125.88,0,Normal,0
304.22,367.28,387.32,188.0,8.0,216.86,122.27,0,Normal,0
341.03,395.5,406.64,157.0,5.0,246.55,134.24,2,Moderate_Stress,1
313.05,384.0,402.38,162.0,5.0,234.31,131.68,0,Normal,0
300.0,371.47,390.0,195.0,5.0,226.36,124.29,0,Normal,0
325.59,389.59,410.9,160.0,6.0,238.7,128.33,0,Normal,0
300.0,380.74,410.54,162.0,7.0,238.88,128.09,0,Normal,0
316.38,371.58,389.54,198.0,8.0,237.91,132.02,0,Normal,0
300.0,350.36,363.81,200.0,8.0,212.84,119.76,0,Normal,0
300.0,367.24,383.12,195.0,8.0,230.31,129.0,0,Normal,0
